hs6,m_ind_world_p0,m_ind_world_p1,x_chl_ind_p0,x_chl_ind_p1,m_ind_total_p0,m_ind_total_p1,product_share_india_p0,product_share_india_p1,chile_share_product_p0,chile_share_product_p1,delta_product_share_india,delta_chile_share_product,avg_exports_p0,avg_exports_p1,avg_india_imports_p0,avg_india_imports_p1,growth_india_imports_pct,growth_chile_exports_pct,new_import_demand,sin_demanda,chile_entry,no_chile_presence,demand_dynamic,chile_competitive,quadrant_code,quadrant_name,d_aap_original,d_aap_expanded,d_aap_covered_p0,d_aap_covered_p1,d_aap_covered_only_p1,d_aap_covered_only_p0,d_added_2017,d_maintained_2017,d_removed_2017,concession_pct_min,concession_pct_max,d_partial_coverage,d_copper_260300,hs2,hs4,description_hs12
390760,368536680.0,959440496.0,0.0,80280.0,1188760914470.0,2078907340881.0,0.0003100174942783,0.0004615119092289,0.0,8.367376646565896e-05,0.0001514944149505,8.367376646565896e-05,0.0,26760.0,122845560.0,319813498.6666667,160.33785727922657,,0,0,1,0,1,1,1,estrella_naciente,0,0,0,0,0,0,0,0,0,,,0,0,39,3907,Poly(ethylene terephthalate): in primary forms
901839,586073788.0,940054906.0,0.0,47487.0,1188760914470.0,2078907340881.0,0.0004930123297848,0.0004521870155124,0.0,5.0515134485134e-05,-4.082531427233356e-05,5.0515134485134e-05,0.0,15829.0,195357929.3333333,313351635.3333333,60.39872883719551,,0,0,1,0,0,1,3,estrella_menguante,0,0,0,0,0,0,0,0,0,,,0,0,90,9018,"Medical, surgical instruments and appliances: catheters, cannulae and the like"
847160,553603849.9999999,937427489.0,6015.0,0.0,1188760914470.0,2078907340881.0,0.0004656982268354,0.0004509231703432,1.086517010313422e-05,0.0,-1.4775056492187196e-05,-1.086517010313422e-05,2005.0,0.0,184534616.66666663,312475829.6666667,69.33182256590165,-100.0,0,0,0,0,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,84,8471,"Units of automatic data processing machines: input or output units, whether or not containing storage units in the same housing"
842649,323605681.0,935686684.0,0.0,0.0,1188760914470.0,2078907340881.0,0.000272220996721,0.0004500858049803,0.0,0.0,0.0001778648082593,0.0,0.0,0.0,107868560.33333331,311895561.3333333,189.144084587316,,0,0,0,1,1,0,2,oportunidad_perdida,0,1,0,1,1,0,1,0,0,5.0,95.0,1,0,84,8426,"Cranes: self-propelled derricks and cranes, not on tyres, n.e.c. in heading no. 8426"
840734,970904514.0,929081325.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0008167365718218,0.0004469084825138,0.0,0.0,-0.0003698280893079,0.0,0.0,0.0,323634837.99999994,309693774.99999994,-4.307652132308448,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,84,8407,"Engines: reciprocating piston engines, of a kind used for the propulsion of vehicles of chapter 87, of a cylinder capacity exceeding 1000cc"
841989,708909681.0,928468773.0000002,0.0,364.0,1188760914470.0,2078907340881.0,0.0005963433625474,0.0004466138315748,0.0,3.920433412357746e-07,-0.0001497295309725,3.920433412357746e-07,0.0,121.33333333333331,236303227.0,309489591.00000006,30.97137729735704,,0,0,1,0,0,1,3,estrella_menguante,0,0,0,0,0,0,0,0,0,,,0,0,84,8419,"Machinery, plant and laboratory equipment: for treating materials by change of temperature, other than for making hot drinks or cooking or heating food"
260600,307960027.0,924541967.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0002590596841226,0.0004447249518144,0.0,0.0,0.0001856652676917,0.0,0.0,0.0,102653342.33333331,308180655.6666667,200.2149259455676,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,26,2606,Aluminium ores and concentrates
760711,580774084.9999999,917776121.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0004885541557857,0.000441470431583,0.0,0.0,-4.7083724202665565e-05,0.0,0.0,0.0,193591361.66666663,305925373.6666667,58.026355635341446,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,76,7607,"Aluminium: foil, (not backed), rolled (but not further worked), of a thickness not exceeding 0.2mm"
850790,416418778.00000006,912829074.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0003502964918607,0.0004390907935382,0.0,0.0,8.879430167754807e-05,0.0,0.0,0.0,138806259.33333334,304276358.0,119.20939261773636,,0,0,0,1,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,85,8507,Electric accumulators: parts n.e.c. in heading no. 8507
300220,803198925.0,899708326.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0006756606103239,0.0004327794261473,0.0,0.0,-0.0002428811841765,0.0,0.0,0.0,267732975.0,299902775.3333333,12.015628755977236,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,30,3002,Vaccines: for human medicine
830242,478563195.0,898957925.9999998,0.0,344.0,1188760914470.0,2078907340881.0,0.000402573123977,0.0004324184672988,0.0,3.826652950607614e-07,2.984534332175885e-05,3.826652950607614e-07,0.0,114.66666666666669,159521065.0,299652641.99999994,87.84518646487216,,0,0,1,0,1,1,1,estrella_naciente,0,1,0,1,1,0,1,0,0,5.0,95.0,1,0,83,8302,"Mountings, fittings and similar articles: suitable for furniture of base metal"
720221,492273107.0,894762082.0,46187.0,0.0,1188760914470.0,2078907340881.0,0.0004141060670887,0.0004304001743631,9.38239350133746e-05,0.0,1.6294107274390844e-05,-9.38239350133746e-05,15395.666666666666,0.0,164091035.66666666,298254027.3333333,81.76131689436367,-100.0,0,0,0,0,1,0,2,oportunidad_perdida,0,0,0,0,0,0,0,0,0,,,0,0,72,7202,"Ferro-alloys: ferro-silicon, containing by weight more than 55% of silicon"
902750,325450257.0,892668665.0,0.0,2637.0,1188760914470.0,2078907340881.0,0.0002737726762703,0.000429393194899,0.0,2.954063588644057e-06,0.0001556205186287,2.954063588644057e-06,0.0,879.0,108483419.0,297556221.6666667,174.28728224971107,,0,0,1,0,1,1,1,estrella_naciente,0,0,0,0,0,0,0,0,0,,,0,0,90,9027,"Instruments and apparatus: using optical radiations (UV, visible, IR), (other than spectrometers, spectrophotometers and spectrographs)"
250300,512104319.00000006,891193643.0,0.0,0.0,1188760914470.0,2078907340881.0,0.0004307883214921,0.000428683676985,0.0,0.0,-2.104644507134625e-06,0.0,0.0,0.0,170701439.6666667,297064547.6666667,74.02580098138168,,0,0,0,1,0,0,4,retirada,0,1,0,1,1,0,1,0,0,80.0,80.0,0,0,25,2503,"Sulphur of all kinds: other than sublimed, precipitated and colloidal sulphur"
251512,685356324.0,887263750.0000001,0.0,0.0,1188760914470.0,2078907340881.0,0.0005765299949364,0.0004267933123099,0.0,0.0,-0.0001497366826265,0.0,0.0,0.0,228452108.0,295754583.3333334,29.46021199915274,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,25,2515,"Marble and travertine: merely cut, by sawing or otherwise, into blocks or slabs of a rectangular (including square) shape, having a specific gravity of 2.5 or more"
844790,759555062.0,885434867.0000001,41841.0,0.0,1188760914470.0,2078907340881.0,0.0006389468670734,0.0004259135794983,5.508619729269871e-05,0.0,-0.0002130332875751,-5.508619729269871e-05,13947.0,0.0,253185020.66666663,295144955.6666667,16.572834715700992,-100.0,0,0,0,0,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,84,8447,"Machines: for making gimped yarn, tulle, lace, embroidery, trimmings, braid or net and machines for tufting"
380892,383575510.0,884548505.0,226782.0,0.0,1188760914470.0,2078907340881.0,0.0003226683392185,0.0004254872199475,0.0005912316977692,0.0,0.0001028188807289,-0.0005912316977692,75594.0,0.0,127858503.33333331,294849501.6666667,130.60609500330193,-100.0,0,0,0,0,1,0,2,oportunidad_perdida,0,1,0,1,1,0,1,0,0,80.0,80.0,0,0,38,3808,Fungicides: other than containing goods specified in Subheading Note 1 to this Chapter: put up in forms or packings for retail sale or as preparations or articles
710391,3338568479.0,881254205.9999998,0.0,0.0,1188760914470.0,2078907340881.0,0.0028084440179365,0.0004239025899184,0.0,0.0,-0.002384541428018,0.0,0.0,0.0,1112856159.6666667,293751401.99999994,-73.6038301582491,,0,0,0,1,0,0,4,retirada,0,0,0,0,0,0,0,0,0,,,0,0,71,7103,"Stones: rubies, sapphires and emeralds, worked (other than simply sawn or roughly shaped), not strung, mounted or set"
