year,direction,hs6,trade_value_usd,quantity_tons
2013,IND_CHL,900699,3556.0,0.2
2013,IND_CHL,900710,199.0,0.019
2013,IND_CHL,900791,15357.0,0.169
2013,IND_CHL,901180,2693.0,0.008
2013,IND_CHL,901590,1031134.0,5.027
2013,IND_CHL,901811,87875.0,0.598
2013,IND_CHL,901812,629.0,0.002
2013,IND_CHL,901832,3910.0,0.171
2013,IND_CHL,902129,307.0,0.003
2013,IND_CHL,902131,18261.0,0.108
2013,IND_CHL,902214,3078.0,0.01
2013,IND_CHL,902221,5648.0,
2013,IND_CHL,902230,68259.0,0.164
2013,IND_CHL,902480,2671.0,0.024
2013,IND_CHL,902610,24599.0,0.186
2013,IND_CHL,902990,8789.0,0.168
2013,IND_CHL,903032,2001.9999999999998,0.008
2013,IND_CHL,903039,33127.0,0.122
2013,IND_CHL,903149,93570.0,0.286
2013,IND_CHL,903190,11262.0,0.196
2013,IND_CHL,903210,2882.0,0.048
2013,IND_CHL,910221,130.0,
2013,IND_CHL,910400,1046.0,0.184
2013,IND_CHL,910591,6408.0,0.303
2013,IND_CHL,920290,1962.0,0.049
2013,IND_CHL,920790,9121.0,0.201
2013,IND_CHL,920890,3998.0,0.222
2013,IND_CHL,940151,354.0,0.049
2013,IND_CHL,940179,57230.0,10.416
2013,IND_CHL,940210,16471.0,0.848
2013,IND_CHL,940290,361.0,0.02
2013,IND_CHL,940360,348005.0,95.075
2013,IND_CHL,940389,8854.0,0.62
2013,IND_CHL,940390,9040.0,2.251
2013,IND_CHL,940410,387276.0,124.553
2013,IND_CHL,950590,321.0,0.001
2013,IND_CHL,950640,712.0,0.013
2013,IND_CHL,950662,237328.0,20.436
2013,IND_CHL,960840,30669.0,0.883
2013,IND_CHL,960910,27018.0,3.412
2013,IND_CHL,960990,26.0,0.004
2013,IND_CHL,961610,7.0,0.01
2013,IND_CHL,970190,57980.0,16.143
2013,IND_CHL,970300,12845.0,3.397
2018,IND_CHL,030617,206798.0,32.558
2018,IND_CHL,030749,21796.0,19.2
2018,IND_CHL,040210,90.0,0.002
2018,IND_CHL,060110,26581.0,7.178
2018,IND_CHL,071140,1589828.0,1987.282
2018,IND_CHL,071190,99453.0,97.453
2018,IND_CHL,071310,30357.0,4.0
2018,IND_CHL,081090,165.0,0.1
2018,IND_CHL,081120,678.0,0.349
2018,IND_CHL,090111,10117.0,2.409
2018,IND_CHL,090230,25917.0,2.055
2018,IND_CHL,090240,82368.0,6.282
2018,IND_CHL,090411,59585.0,4.985
2018,IND_CHL,090510,30000.0,0.05
2018,IND_CHL,090921,17353.0,17.953
2018,IND_CHL,090961,4267.0,2.495
2018,IND_CHL,090962,325.0,0.06
2018,IND_CHL,091011,4246.0,2.227
2018,IND_CHL,120740,962850.0,531.093
2018,IND_CHL,120890,2223.0,3.04
2018,IND_CHL,120991,374657.0,0.824
2018,IND_CHL,130190,191583.0,49.609
2018,IND_CHL,130239,399604.0,114.253
2018,IND_CHL,140490,124562.0,196.933
2018,IND_CHL,150420,5343821.0,3389.091
2018,IND_CHL,150890,5.0,0.004
2018,IND_CHL,151491,1042.0,0.55
2018,IND_CHL,151499,172.0,0.072
2018,IND_CHL,151530,192518.0,116.86
2018,IND_CHL,170113,246.0,0.215
2018,IND_CHL,170310,100.0,0.01
2018,IND_CHL,190219,3816.0,13.224
2018,IND_CHL,190410,127.0,0.013
2018,IND_CHL,190490,9995.0,2.126
2018,IND_CHL,190520,250.0,0.048
2018,IND_CHL,190590,1180.0,0.107
2018,IND_CHL,200110,1472039.0,1642.813
2018,IND_CHL,200490,1745.0,4.51
2018,IND_CHL,200510,656.0,0.2
2018,IND_CHL,200941,329.0,
2018,IND_CHL,210610,302.0,0.093
2018,IND_CHL,220210,8289.0,36.728
